CustomerID,recency,client_since,frequency,quantity_mean,monetary_value,cancel_rate,cluster
18117.0,25,25,1,8.507042253521126,314.3999999999999,0.0,4
17201.0,53,53,1,6.078947368421052,289.78000000000003,0.0,4
14947.0,72,130,2,12.785714285714286,290.82000000000005,0.0,3
15223.0,225,249,2,3.0625,454.8999999999999,0.6,1
13980.0,60,60,1,15.636363636363637,200.14000000000001,0.0,4
16914.0,36,36,1,3.7333333333333334,183.75999999999996,0.0,4
17385.0,14,14,1,4.377777777777778,256.11,0.0,4
17372.0,40,362,8,2.9760956175298805,1337.18,0.0,0
13699.0,155,155,1,4.714285714285714,308.58,0.0,3
15081.0,22,367,5,5.371428571428571,487.34999999999997,0.06060606060606061,0
15699.0,17,17,1,6.277777777777778,309.6499999999999,0.0,4
17218.0,4,368,10,3.5239852398523985,1951.97,0.0,2
13954.0,1,70,2,4.7,378.59,0.2,4
17636.0,19,19,1,7.333333333333333,265.93,0.2,4
16726.0,26,361,5,5.308988764044944,1358.7400000000002,0.0,0
16861.0,59,158,2,19.142857142857142,156.06,0.16666666666666666,1
12871.0,84,207,2,18.181818181818183,380.64000000000004,0.0,3
18015.0,4,4,1,3.4130434782608696,120.03000000000002,0.0,4
16491.0,46,46,1,12.256410256410257,731.5,0.0,4
14233.0,49,317,4,18.63888888888889,1447.5100000000002,0.02857142857142857,0
13126.0,4,366,8,15.0,2056.29,0.014285714285714285,2
14049.0,16,317,4,7.644444444444445,5536.15,0.03556485355648536,2
13270.0,366,366,1,200.0,590.0,0.0,1
16211.0,88,88,1,6.375,542.77,0.043478260869565216,3
16670.0,16,358,11,9.633587786259541,4022.46,0.03968253968253968,2
12843.0,65,264,8,6.972222222222222,1680.7600000000002,0.04854368932038835,0
13050.0,14,366,17,8.802850356294536,5680.86,0.0472636815920398,2
13761.0,50,179,2,9.17142857142857,1070.65,0.0,0
13072.0,266,266,1,9.857142857142858,177.14999999999998,0.0,3
17925.0,372,372,1,72.0,244.08,0.0,1
15395.0,325,325,1,2.4285714285714284,107.45000000000002,0.0,3
13004.0,11,357,18,11.726161369193154,5613.43,0.012376237623762377,2
13694.0,3,373,50,106.17838765008577,62714.54,0.02640845070422535,2
14887.0,79,79,1,183.33333333333334,1862.0,0.0,1
15244.0,65,248,2,11.911764705882353,631.5699999999999,0.0,0
18215.0,89,89,1,9.076923076923077,299.34,0.0,4
17229.0,96,142,2,3.9361702127659575,318.76000000000005,0.0,3
14206.0,239,239,1,13.047619047619047,308.26,0.05,3
15215.0,46,96,3,4.906976744186046,615.9899999999999,0.22857142857142856,1
15835.0,44,330,4,8.78,954.09,0.0,0
15031.0,4,282,4,3.6363636363636362,653.19,0.0,0
17412.0,2,372,7,11.181818181818182,1258.0600000000002,0.0,2
16637.0,32,225,4,12.375,1124.59,0.043478260869565216,0
17223.0,310,368,2,2.3191489361702127,381.89000000000004,0.0,3
17423.0,46,217,2,15.035714285714286,663.63,0.07692307692307693,0
15656.0,45,284,4,7.297872340425532,748.5,0.0,0
14866.0,10,366,11,64.3921568627451,14160.95,0.04081632653061224,2
14854.0,78,274,7,13.923076923076923,2730.09,0.031746031746031744,0
16668.0,15,284,6,15.9,306.71999999999997,0.0,0
16883.0,187,371,2,2.7837837837837838,272.47999999999996,0.0,3
15757.0,65,217,2,10.911111111111111,714.4200000000001,0.0,0
16686.0,47,355,7,3.6051188299817185,2940.5299999999997,0.0055147058823529415,0
14024.0,121,124,2,9.375,327.70000000000005,0.0,3
14201.0,60,359,7,14.820512820512821,688.0400000000001,0.05405405405405406,0
15507.0,171,171,1,3.5555555555555554,475.86000000000007,0.0,3
15315.0,64,116,2,22.05263157894737,551.54,0.02702702702702703,0
14496.0,311,373,2,8.368421052631579,538.8100000000001,0.0,3
15857.0,18,18,1,22.0,296.99999999999994,0.0,4
15826.0,56,210,3,13.942028985507246,1649.3600000000001,0.014705882352941176,0
17761.0,32,32,1,20.94736842105263,712.78,0.0,4
16207.0,25,25,1,7.368421052631579,394.38,0.0,4
15485.0,30,373,3,15.070588235294117,2564.5,0.0,0
14723.0,10,371,6,2.60077519379845,1120.6599999999999,0.0,0
17857.0,4,365,22,293.04,25185.84,0.041666666666666664,2
14623.0,32,235,5,3.037593984962406,862.1199999999999,0.007575757575757576,0
17422.0,16,296,6,16.25925925925926,1853.1299999999997,0.15384615384615385,2
16713.0,18,366,15,6.7926634768740035,6827.88,0.012924071082390954,2
17037.0,87,87,1,8.467532467532468,1253.2199999999998,0.02666666666666667,4
17017.0,2,372,20,24.675373134328357,8574.11,0.06349206349206349,2
15045.0,151,257,2,8.153846153846153,633.66,0.08333333333333333,3
13147.0,10,99,4,36.0,712.8000000000001,0.0,0
15894.0,253,369,2,4.527777777777778,257.6,0.0,3
17481.0,3,93,4,12.771084337349398,1249.3400000000001,0.012195121951219513,0
17827.0,5,364,5,5.767441860465116,1987.33,0.0,2
17340.0,29,366,11,13.919811320754716,11891.18,0.04176904176904177,2
15829.0,99,140,2,19.529411764705884,636.1399999999998,0.0,0
13930.0,57,136,2,16.11764705882353,337.34,0.0,3
16753.0,58,58,1,5.5588235294117645,223.92,0.0,4
13255.0,9,373,2,12.428571428571429,390.65999999999997,0.07692307692307693,0
12822.0,70,87,2,11.659574468085106,918.9800000000001,0.021739130434782608,0
16988.0,5,5,1,6.142857142857143,126.12,0.0,4
18045.0,45,45,1,3.2093023255813953,178.33999999999997,0.0,4
17948.0,147,147,1,144.0,358.56000000000006,0.0,1
16348.0,32,240,7,3.6153846153846154,1413.31,0.0,0
17084.0,35,35,2,11.422818791946309,2747.99,0.0,4
13243.0,203,203,1,4.0701754385964914,585.12,0.0,3
17442.0,36,290,6,10.642857142857142,2210.2599999999998,0.037037037037037035,0
13546.0,12,200,3,3.6804123711340204,621.09,0.0,0
16652.0,58,273,7,26.5609756097561,6654.26,0.0423728813559322,2
16140.0,65,371,2,20.22222222222222,708.1800000000001,0.02857142857142857,0
13803.0,255,255,1,7.117647058823529,277.07000000000005,0.0,3
17259.0,148,368,2,3.3448275862068964,581.2299999999999,0.0,3
14710.0,14,59,4,2.7573529411764706,599.48,0.0,4
15508.0,189,235,6,4.782608695652174,1000.2700000000001,0.0,0
16191.0,2,360,13,21.36,4916.570000000001,0.11940298507462686,2
14517.0,33,141,2,5.055555555555555,330.45000000000005,0.0,3
17843.0,303,303,1,2.5142857142857142,197.73,0.0,3
15120.0,133,133,1,13.272727272727273,343.8199999999999,0.047619047619047616,3
18235.0,71,217,3,15.173076923076923,1796.4800000000002,0.0,0
17684.0,43,43,1,9.666666666666666,239.41,0.0,4
15335.0,53,53,1,2.257142857142857,170.22,0.0,4
13657.0,10,201,2,13.0625,382.14,0.0,0
12872.0,326,365,2,4.833333333333333,599.9700000000001,0.0,3
17339.0,94,365,2,16.88888888888889,243.36,0.0,3
18084.0,16,16,1,155.5,87.52999999999999,1.0,1
15861.0,12,267,8,4.6709796672828094,2981.92,0.001851851851851852,2
13014.0,10,281,10,7.145161290322581,3365.4300000000003,0.12727272727272726,2
15608.0,28,120,4,11.9,1093.68,0.0,0
15853.0,51,51,1,4.5,110.80000000000001,0.0,4
17862.0,323,323,1,9.090909090909092,330.9,0.0,3
15280.0,172,172,1,9.625,113.12,0.0,3
13684.0,285,285,1,1.2333333333333334,62.13000000000001,0.034482758620689655,3
13130.0,94,94,1,16.0,64.0,0.0,3
17685.0,16,372,7,15.015748031496063,3155.8299999999995,0.0,2
17836.0,47,47,1,3.782608695652174,109.83,0.0,4
16414.0,21,280,2,3.857142857142857,126.25,0.0,3
15550.0,4,301,4,4.836065573770492,575.6300000000002,0.0,0
18170.0,33,217,3,10.763157894736842,980.3100000000001,0.0,0
16163.0,232,365,2,13.142857142857142,441.6000000000001,0.16666666666666666,1
14232.0,42,264,5,16.415254237288135,2043.93,0.02608695652173913,0
14346.0,120,297,2,10.083333333333334,1021.58,0.0,0
17691.0,358,368,2,7.052631578947368,290.4,0.0,3
16031.0,92,247,2,4.295918367346939,547.9000000000001,0.0,3
16123.0,51,51,1,10.625,307.78000000000003,0.0,4
14089.0,56,56,1,10.23076923076923,158.75,0.0,4
