CustomerID,recency,client_since,frequency,quantity_mean,monetary_value,cancel_rate,cluster
12747.0,2,369,11,12.37864077669903,4196.009999999999,0.0,3
12748.0,0,373,206,5.296396396396396,29819.99,0.00977939504207414,3
12749.0,3,213,5,6.178260869565217,3818.2000000000007,0.16161616161616163,3
12820.0,3,326,4,12.23728813559322,942.34,0.0,2
12821.0,214,214,1,11.666666666666666,92.72,0.0,1
12822.0,70,87,2,11.659574468085106,918.9800000000001,0.021739130434782608,4
12823.0,74,296,5,46.0,1759.5,0.0,2
12824.0,59,59,1,9.28,397.11999999999995,0.0,4
12826.0,2,365,7,11.212765957446809,1468.1200000000001,0.03296703296703297,3
12827.0,5,44,3,7.88,430.15,0.0,4
12828.0,2,130,6,8.821428571428571,1018.71,0.0,2
12829.0,336,360,2,31.25,253.05,0.09090909090909091,0
12830.0,37,171,6,252.48717948717947,6748.400000000001,0.02631578947368421,0
12831.0,262,262,1,15.0,215.05,0.0,1
12832.0,32,98,2,7.222222222222222,383.03000000000003,0.0,4
12833.0,145,145,1,6.5,417.38,0.0,1
12834.0,282,282,1,6.111111111111111,312.38,0.0,1
12836.0,59,311,4,6.103448275862069,2610.3599999999997,0.0,2
12837.0,173,173,1,2.0,134.1,0.0,1
12838.0,33,373,2,2.9583333333333335,671.95,0.0,2
12839.0,2,367,14,12.079365079365079,5588.120000000001,0.0031847133757961785,3
12840.0,143,226,4,12.974137931034482,2714.2700000000004,0.02654867256637168,2
12841.0,4,371,25,6.1108545034642034,3845.63,0.04589371980676329,3
12842.0,70,308,2,16.08823529411765,1118.99,0.0,2
12843.0,65,264,8,6.972222222222222,1680.7600000000002,0.04854368932038835,2
12844.0,29,130,2,2.4038461538461537,325.96,0.0,1
12845.0,267,290,4,7.555555555555555,354.09,0.0,1
12847.0,22,22,1,10.392857142857142,843.6399999999999,0.0,4
12849.0,31,268,2,12.58695652173913,992.65,0.0,2
12851.0,96,96,1,2.25531914893617,131.80999999999997,0.0,1
12852.0,294,294,1,7.25,299.75000000000006,0.17647058823529413,1
12853.0,134,315,6,9.30952380952381,1881.7,0.07692307692307693,2
12854.0,78,318,3,5.447368421052632,1280.9,0.045871559633027525,2
12855.0,372,372,1,10.0,38.1,0.0,1
12856.0,7,63,6,3.417197452229299,2153.5299999999997,0.00964630225080386,2
12857.0,210,302,2,7.456521739130435,1106.4,0.0,1
12863.0,52,52,1,31.0,504.20000000000005,0.2,0
12864.0,138,138,1,72.0,147.12,0.0,0
12867.0,26,360,7,7.804029304029304,3962.99,0.02247191011235955,3
12868.0,185,373,6,8.672897196261681,1607.0600000000002,0.0,2
12871.0,84,207,2,18.181818181818183,380.64000000000004,0.0,1
12872.0,326,365,2,4.833333333333333,599.9700000000001,0.0,1
12873.0,282,282,1,32.0,374.0,0.0,1
12875.0,143,362,2,1009.5,343.2300000000001,0.0,0
12877.0,3,358,12,7.64935064935065,1535.7700000000002,0.0,3
12878.0,236,266,2,10.938775510204081,841.64,0.0425531914893617,1
12879.0,44,91,3,30.25,552.57,0.2,0
12881.0,275,275,1,3.0,298.0,0.0,1
12882.0,9,33,2,18.923076923076923,1463.0399999999997,0.0,4
12883.0,24,89,4,4.666666666666667,703.47,0.0,2
12884.0,88,88,1,6.142857142857143,309.05000000000007,0.0,1
12885.0,63,123,3,9.083333333333334,1158.27,0.014084507042253521,2
12886.0,67,219,2,8.848837209302326,1351.09,0.04878048780487805,2
12888.0,214,255,2,9.714285714285714,313.77,0.4,0
12890.0,24,24,1,3.240506329113924,376.71999999999997,0.0,4
12891.0,185,292,3,316.6666666666667,331.0,0.0,0
12893.0,30,30,1,2.903225806451613,176.54999999999998,0.0,4
12895.0,42,86,2,8.5,347.3,0.09090909090909091,4
12897.0,204,301,2,27.5,216.5,0.0,1
12901.0,8,270,28,169.83064516129033,16308.94,0.06896551724137931,3
12902.0,264,264,1,6.6,138.67999999999998,0.0,1
12904.0,18,172,2,4.140845070422535,496.06,0.0,2
12906.0,11,78,5,27.761904761904763,2919.81,0.0,3
12908.0,176,312,2,200.0,360.0,0.5,0
12909.0,39,253,5,13.229166666666666,2128.83,0.054945054945054944,2
12910.0,23,241,8,22.56,3075.0400000000004,0.0,3
12912.0,2,40,5,27.916666666666668,1662.3,0.0,4
12913.0,4,368,5,28.38,2483.6299999999997,0.0,3
12915.0,148,372,2,4.2272727272727275,363.65,0.0,1
12916.0,138,320,4,10.238095238095237,2921.1499999999996,0.019417475728155338,2
12917.0,128,128,1,60.0,594.0,0.0,0
12919.0,8,169,6,12.846153846153847,1301.44,0.04,2
12920.0,17,17,1,4.7407407407407405,162.77999999999997,0.0,4
12921.0,9,373,37,12.758434547908232,16389.74,0.029166666666666667,3
12922.0,161,161,1,13.214285714285714,405.38,0.0,1
12923.0,64,64,1,2.4814814814814814,171.57,0.0,4
12924.0,88,327,4,15.966666666666667,922.0000000000001,0.034482758620689655,2
12925.0,4,74,2,12.022222222222222,694.05,0.0,4
12928.0,35,359,5,17.523809523809526,2062.7,0.0,2
12929.0,311,311,1,4.0,105.1,0.125,1
12930.0,78,171,2,9.25925925925926,409.9,0.08,1
12931.0,21,357,15,233.43564356435644,33544.81,0.23170731707317074,3
12933.0,24,283,3,4.654205607476635,606.28,0.009433962264150943,2
